,delta_gradient_vol
0,0.0
1,1.0
2,0.0
3,1.0
4,1.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.0
15,1.0
16,1.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,1.0
23,0.0
24,0.0
25,1.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.0
33,1.0
34,1.0
35,1.0
36,0.0
37,0.0
38,1.0
39,0.0
40,1.0
41,0.0
42,1.0
43,1.0
44,0.0
45,0.0
46,0.0
47,0.0
48,1.0
49,0.0
50,0.0
51,1.0
52,0.0
53,1.0
54,0.0
55,0.0
56,0.0
57,1.0
58,0.0
59,0.0
60,1.0
61,0.0
62,0.0
63,0.0
64,1.0
65,1.0
66,0.0
67,0.0
68,0.0
69,1.0
70,0.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.0
76,1.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,1.0
84,1.0
85,1.0
86,0.0
87,1.0
88,0.0
89,1.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,1.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,0.0
110,0.0
111,1.0
112,0.0
113,0.0
114,1.0
115,0.0
116,0.0
117,1.0
118,0.0
119,0.0
120,0.0
121,1.0
122,1.0
123,1.0
124,1.0
125,0.0
126,0.0
127,1.0
128,0.0
129,0.0
130,0.0
131,0.0
132,1.0
133,1.0
134,1.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,1.0
141,1.0
142,0.0
143,0.0
144,0.0
145,0.0
146,1.0
147,1.0
148,0.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,0.0
155,1.0
156,0.0
157,1.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.0
174,1.0
175,0.0
176,1.0
177,0.0
178,0.0
179,0.0
180,0.0
181,1.0
182,1.0
183,0.0
184,0.0
185,1.0
186,0.0
187,0.0
188,1.0
189,1.0
190,0.0
191,0.0
192,0.0
193,1.0
194,1.0
195,1.0
196,1.0
197,0.0
198,0.0
199,1.0
200,1.0
201,0.0
202,0.0
203,1.0
204,0.0
205,1.0
206,0.0
207,1.0
208,0.0
209,1.0
210,0.0
211,1.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,0.0
224,1.0
225,1.0
226,1.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,0.0
239,1.0
240,0.0
241,1.0
242,1.0
243,0.0
244,0.0
245,0.0
246,0.0
247,1.0
248,1.0
249,1.0
250,1.0
251,0.0
252,0.0
253,0.0
254,1.0
255,0.0
256,0.0
257,0.0
258,1.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,1.0
265,1.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,1.0
275,0.0
276,0.0
277,1.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,1.0
284,1.0
285,1.0
286,1.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,1.0
293,1.0
294,1.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,1.0
307,1.0
308,1.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,1.0
315,0.0
316,0.0
317,1.0
318,1.0
319,1.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.0
327,0.0
328,0.0
329,0.0
330,1.0
331,0.0
332,0.0
333,1.0
334,0.0
335,0.0
336,0.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,0.0
346,1.0
347,1.0
348,0.0
349,0.0
350,0.0
351,1.0
352,0.0
353,1.0
354,0.0
355,1.0
356,1.0
357,1.0
358,1.0
359,0.0
360,0.0
361,1.0
362,0.0
363,0.0
364,0.0
365,1.0
366,1.0
367,0.0
368,0.0
369,1.0
370,0.0
371,0.0
372,0.0
373,1.0
374,1.0
375,0.0
376,1.0
377,1.0
378,0.0
379,0.0
380,1.0
381,1.0
382,0.0
383,0.0
384,0.0
385,1.0
386,0.0
387,0.0
388,0.0
389,1.0
390,1.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,1.0
397,0.0
398,1.0
399,1.0
400,1.0
401,0.0
402,1.0
403,0.0
404,0.0
405,0.0
406,1.0
407,0.0
408,0.0
409,0.0
410,1.0
411,1.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,1.0
418,0.0
419,0.0
420,0.0
421,0.0
422,1.0
423,0.0
424,1.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,1.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,1.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,1.0
448,0.0
449,1.0
450,0.0
451,0.0
452,0.0
453,0.0
454,1.0
455,0.0
456,1.0
457,1.0
458,1.0
459,1.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,1.0
466,1.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,1.0
473,1.0
474,0.0
475,0.0
476,1.0
477,1.0
478,1.0
479,1.0
480,0.0
481,1.0
482,0.0
483,0.0
484,1.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,1.0
493,1.0
494,0.0
495,0.0
496,0.0
497,1.0
498,1.0
499,0.0
500,0.0
501,1.0
502,1.0
503,0.0
504,0.0
505,1.0
506,0.0
507,1.0
508,0.0
509,0.0
510,0.0
511,1.0
512,1.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,1.0
519,1.0
520,0.0
521,0.0
522,0.0
523,1.0
524,0.0
525,0.0
526,0.0
527,1.0
528,1.0
529,0.0
530,0.0
531,0.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,0.0
538,0.0
539,0.0
540,0.0
541,1.0
542,1.0
543,1.0
544,0.0
545,0.0
546,0.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,0.0
553,0.0
554,0.0
555,0.0
556,1.0
557,1.0
558,0.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,0.0
567,0.0
568,1.0
569,0.0
570,0.0
571,1.0
572,1.0
573,1.0
574,1.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,1.0
581,0.0
582,0.0
583,1.0
584,0.0
585,0.0
586,1.0
587,1.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,1.0
594,1.0
595,0.0
596,0.0
597,0.0
598,1.0
599,1.0
600,1.0
601,0.0
602,0.0
603,0.0
604,0.0
605,1.0
606,1.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,1.0
613,0.0
614,1.0
615,1.0
616,0.0
617,0.0
618,1.0
619,0.0
620,0.0
621,1.0
622,0.0
623,0.0
624,0.0
625,0.0
626,1.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,1.0
633,1.0
634,0.0
635,1.0
636,1.0
637,0.0
638,0.0
