,delta_gradient_vol
0,1.0
1,1.0
2,1.0
3,0.0
4,1.0
5,1.0
6,0.0
7,1.0
8,0.0
9,0.0
10,0.0
11,1.0
12,0.0
13,1.0
14,0.0
15,1.0
16,1.0
17,1.0
18,1.0
19,0.0
20,1.0
21,0.0
22,1.0
23,0.0
24,1.0
25,1.0
26,0.0
27,1.0
28,1.0
29,0.0
30,1.0
31,0.0
32,1.0
33,0.0
34,1.0
35,0.0
36,0.0
37,1.0
38,0.0
39,1.0
40,1.0
41,0.0
42,1.0
43,0.0
44,1.0
45,0.0
46,1.0
47,0.0
48,1.0
49,0.0
50,0.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,0.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,0.0
67,1.0
68,0.0
69,1.0
70,0.0
71,0.0
72,1.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1.0
78,0.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,0.0
85,0.0
86,1.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.0
104,1.0
105,0.0
106,0.0
107,1.0
108,1.0
109,1.0
110,1.0
111,0.0
112,0.0
113,1.0
114,1.0
115,1.0
116,0.0
117,0.0
118,0.0
119,0.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,0.0
126,0.0
127,0.0
128,0.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,0.0
136,0.0
137,0.0
138,1.0
139,1.0
140,1.0
141,0.0
142,1.0
143,0.0
144,1.0
145,1.0
146,1.0
147,0.0
148,0.0
149,0.0
150,0.0
151,1.0
152,0.0
153,1.0
154,0.0
155,0.0
156,1.0
157,0.0
158,0.0
159,1.0
160,1.0
161,1.0
162,1.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,1.0
169,1.0
170,0.0
171,1.0
172,0.0
173,1.0
174,0.0
175,0.0
176,1.0
177,1.0
178,1.0
179,0.0
180,0.0
181,1.0
182,1.0
183,0.0
184,1.0
185,0.0
186,0.0
187,0.0
188,1.0
189,1.0
190,0.0
191,0.0
192,0.0
193,0.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
